name	x	y	z	impedance
E1	7.05836	-5.56273	-2.13833	11.8710760519668
E2	7.94136	-5.334	0.2371	13.4063454304239
E3	8.61151	-4.257	2.77296	6.03277592335968
E4	8.04222	-2.68245	5.31354	9.693873119106
E5	6.33091	-1.63804	7.00984	8.37072760281006
E6	3.89585	-0	8.14682	8.46502936531842
E7	1.74142	1.41305	8.45875	7.60138412760528
E8	9.34083	-4.09179	-1.72351	17.9790621092516
E9	9.82549	-3.3556	0.750687	4.98067760200078
E10	9.61435	-2.39622	3.5151	4.75302679995461
E11	8.60698	-0	5.88719	10.5228805995987
E12	6.33091	1.63804	7.00984	8.86819114696444
E13	3.66109	2.67447	7.65927	8.9531978028829
E14	10.609	-1.984	-1.23837	17.6338574762189
E15	10.6507	-1.21058	1.24742	8.2863982337706
E16	10.1982	-0	3.52745	8.47921872717176
E17	10.5352	-0	-2.71023	9.01050692889599
E18	10.6507	1.21058	1.24742	19.9664276470554
E19	9.61435	2.39622	3.5151	17.1995899575483
E20	8.04222	2.68245	5.31354	6.90238424487746
E21	5.67672	3.7358	6.23543	18.4934505927904
E22	10.609	1.984	-1.23837	20.1569195958008
E23	9.82549	3.3556	0.750687	11.2354143665064
E24	8.61151	4.257	2.77296	4.57493109528643
E25	6.94583	4.72647	4.29259	13.2583083971492
E26	9.34083	4.09179	-1.72351	6.70008850150283
E27	7.94136	5.334	0.2371	6.3768330885008
E28	6.37719	5.88862	2.05983	4.87722599235666
E29	4.58172	6.08477	4.04119	7.43060222811747
E30	3.01496	5.17735	6.17561	6.07654376474977
E31	0.976844000000001	3.90573	7.58964	7.2799862427676
E32	-1.22344	2.28818	8.35468	13.1564918632414
E33	7.05836	5.56273	-2.13833	13.4261268666057
E34	5.66018	6.28567	-0.325478	6.59359361936126
E35	3.71219	6.93929	1.96627	9.57073032952635
E36	2.25109	6.96513	3.83809	7.0535921409295
E37	0.279191000000001	6.20327	5.88833	5.04756319796221
E38	-1.83783	4.74906	7.20099	13.4527917980429
E39	4.49436	6.56444	-3.36122	14.5348374005809
E40	2.65809	7.18868	-0.876653	10.7498417903826
E41	1.34926	7.57948	1.26836	10.1368300288264
E42	-0.164728000000003	7.53633	2.96011	3.75622501326343
E43	-2.56096	6.50984	5.22143	39.2643250670078
E44	3.02934	6.57111	-6.21266	16.8557409233932
E45	1.52278	7.03162	-3.42515	5.69655493664317
E46	0.234217000000001	7.56327	-1.09244	6.94962518320589
E47	-1.46741	7.60231	1.03584	5.59131866743268
E48	-2.81422	7.31578	2.60868	36.962675520673
E49	0.835981000000001	6.85902	-6.60769	321.927701148491
E50	-2.88101	7.34918	-1.38637	6.10581434017628
E51	-3.97624	7.07415	0.553357	6.04604499938847
E52	-4.94704	6.50248	3.10276	5.89856934542881
E53	-4.82594	5.07956	5.55724	4.05051401334685
E54	-4.19736	2.51032	7.58563	6.12048734498943
E55	-3.20127	-3.92042505870645e-16	8.28249	5.00700345435452
E56	-3.59608	6.17315	-6.94128	28.8424966893906
E57	-4.02463	6.90343	-3.54669	21.0168735360959
E58	-5.20816	6.47645	-1.59903	10.5292953299143
E59	-6.31619	5.9853	0.766718	5.85197961662414
E60	-6.89084	4.81515	3.53716	4.63798810838817
E61	-6.50084	2.75579	5.69942	3.72226031055159
E62	-5.62431	-6.88779323891245e-16	7.10652	10.2775118065205
E63	-5.02163	5.39665	-6.61401	13.6255989183445
E64	-6.14775	5.86075	-3.4408	16.3699217762265
E65	-7.5274	4.9121	-1.54431	11.5923538337721
E66	-8.41313	3.9387	0.986116	4.5309768266258
E67	-8.20562	2.51978	3.5441	3.9038107607581
E68	-7.23943	-8.86574477715132e-16	5.62067	14.1209411261753
E69	-6.94455	4.02983	-6.30024	14.2297449834284
E70	-8.3235	3.70296	-3.37134	9.77091232265396
E71	-9.16834	2.84669000000001	-1.3147	4.47724142154164
E72	-9.32289	1.99322	1.02896	5.19905503194879
E73	-8.85649	-1.08460721301805e-15	2.83601	11.7531078587527
E74	-8.43156	2.17486	-6.40705	9.66819530344969
E75	-9.09985	2.09545	-3.99044	7.15025967030614
E76	-9.70481	-1.18849645028332e-15	-0.946568	7.34000287699238
E77	-9.32289	-1.99322	1.02896	8.9287883812505
E78	-8.20562	-2.51978	3.5441	8.48143989902767
E79	-6.50084	-2.75579	5.69942	4.92843080885056
E80	-4.19736	-2.51032	7.58563	5.67075608084001
E81	-1.22344	-2.28818	8.35468	5.83565544889146
E82	-8.93823	-1.09461747595428e-15	-6.11277	12.2213329288939
E83	-9.10442	-2.09545	-3.65547	16.5211957839353
E84	-9.16834	-2.84669000000001	-1.3147	5.19839625093129
E85	-8.41313	-3.9387	0.986116	6.38320955163943
E86	-6.89084	-4.81515	3.53716	4.47533776348813
E87	-4.82594	-5.07956	5.55724	3.60179379113153
E88	-1.83783	-4.74906	7.20099	8.27969429232734
E89	-8.43156	-2.17486	-6.40705	18.9241016639323
E90	-8.3235	-3.70296	-3.37134	7.07188745812199
E91	-7.5274	-4.9121	-1.54431	7.32513443698528
E92	-6.31619	-5.9853	0.766718	10.5171864880905
E93	-4.94704	-6.50248	3.10276	8.29620805257995
E94	-2.56096	-6.50984	5.22143	17.2844511084086
E95	-6.94455	-4.02983	-6.30024	16.9837082366486
E96	-6.14775	-5.86075	-3.4408	6.18403919065564
E97	-5.20816	-6.47645	-1.59903	14.5953961545813
E98	-3.97624	-7.07415	0.553357	15.3323047854375
E99	-2.81422	-7.31578	2.60868	14.2483322266869
E100	-5.02163	-5.39665	-6.61401	17.6085046349133
E101	-4.01898	-6.90343	-3.96056	15.2166541569695
E102	-2.88101	-7.34918	-1.38637	25.923531980889
E103	-1.46741	-7.60231	1.03584	17.7561253479253
E104	-0.553802000000002	-7.53633	2.9548	5.53700078902976
E105	0.279191000000001	-6.20327	5.88833	4.99442053498446
E106	0.976844000000001	-3.90573	7.58964	7.85440730557865
E107	1.74142	-1.41305	8.45875	15.0721824674608
E108	-3.59608	-6.17315	-6.94128	14.3127408648323
